RULE	POSITIVE_EXAMPLE	ENTITIES	RELATIONS
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<André_Rouvoet> <livesIn> <Netherlands> => <André_Rouvoet> <isLeaderOf> <Netherlands>	<Netherlands> <André_Rouvoet>	<isLeaderOf> <livesIn>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<Bruce_Hyer> <livesIn> <Thunder_Bay> => <Bruce_Hyer> <isLeaderOf> <Thunder_Bay>	<Bruce_Hyer> <Thunder_Bay>	<isLeaderOf> <livesIn>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<Daniel_C._Miller> <livesIn> <Harrisburg,_Pennsylvania> => <Daniel_C._Miller> <isLeaderOf> <Harrisburg,_Pennsylvania>	<Daniel_C._Miller> <Harrisburg,_Pennsylvania>	<isLeaderOf> <livesIn>
?a <livesIn> ?b => ?a <isLeaderOf> ?b	<Michael_Bell_(mayor)> <livesIn> <Toledo,_Ohio> => <Michael_Bell_(mayor)> <isLeaderOf> <Toledo,_Ohio>	<Toledo,_Ohio> <Michael_Bell_(mayor)>	<isLeaderOf> <livesIn>
?a <wasBornIn> ?b => ?a <isLeaderOf> ?b	<Ted_Gatsas> <wasBornIn> <Manchester,_New_Hampshire> => <Ted_Gatsas> <isLeaderOf> <Manchester,_New_Hampshire>	<Manchester,_New_Hampshire> <Ted_Gatsas>	<isLeaderOf> <wasBornIn>
?a <wasBornIn> ?b => ?a <isLeaderOf> ?b	<Jim_Ireton> <wasBornIn> <Salisbury,_Maryland> => <Jim_Ireton> <isLeaderOf> <Salisbury,_Maryland>	<Salisbury,_Maryland> <Jim_Ireton>	<isLeaderOf> <wasBornIn>
?a <wasBornIn> ?b => ?a <isLeaderOf> ?b	<Michael_J._McGlynn> <wasBornIn> <Medford,_Massachusetts> => <Michael_J._McGlynn> <isLeaderOf> <Medford,_Massachusetts>	<Medford,_Massachusetts> <Michael_J._McGlynn>	<isLeaderOf> <wasBornIn>
?a <wasBornIn> ?b => ?a <isLeaderOf> ?b	<Daniel_C._Miller> <wasBornIn> <Harrisburg,_Pennsylvania> => <Daniel_C._Miller> <isLeaderOf> <Harrisburg,_Pennsylvania>	<Daniel_C._Miller> <Harrisburg,_Pennsylvania>	<isLeaderOf> <wasBornIn>
?a <wasBornIn> ?b => ?a <isLeaderOf> ?b	<Michael_Bell_(mayor)> <wasBornIn> <Toledo,_Ohio> => <Michael_Bell_(mayor)> <isLeaderOf> <Toledo,_Ohio>	<Toledo,_Ohio> <Michael_Bell_(mayor)>	<isLeaderOf> <wasBornIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Berlin> <isLocatedIn> <Germany> => <Germany> <hasCapital> <Berlin>	<Germany> <Berlin>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Vienna> <isLocatedIn> <Austria> => <Austria> <hasCapital> <Vienna>	<Austria> <Vienna>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Amsterdam> <isLocatedIn> <Netherlands> => <Netherlands> <hasCapital> <Amsterdam>	<Netherlands> <Amsterdam>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Brasília> <isLocatedIn> <Brazil> => <Brazil> <hasCapital> <Brasília>	<Brasília> <Brazil>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Copenhagen> <isLocatedIn> <Denmark> => <Denmark> <hasCapital> <Copenhagen>	<Copenhagen> <Denmark>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Dublin> <isLocatedIn> <Republic_of_Ireland> => <Republic_of_Ireland> <hasCapital> <Dublin>	<Republic_of_Ireland> <Dublin>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Edinburgh> <isLocatedIn> <Scotland> => <Scotland> <hasCapital> <Edinburgh>	<Edinburgh> <Scotland>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Helsinki> <isLocatedIn> <Finland> => <Finland> <hasCapital> <Helsinki>	<Helsinki> <Finland>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Jerusalem> <isLocatedIn> <Israel> => <Israel> <hasCapital> <Jerusalem>	<Israel> <Jerusalem>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Kuala_Lumpur> <isLocatedIn> <Malaysia> => <Malaysia> <hasCapital> <Kuala_Lumpur>	<Kuala_Lumpur> <Malaysia>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<London> <isLocatedIn> <United_Kingdom> => <United_Kingdom> <hasCapital> <London>	<United_Kingdom> <London>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Lisbon> <isLocatedIn> <Portugal> => <Portugal> <hasCapital> <Lisbon>	<Lisbon> <Portugal>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Luanda> <isLocatedIn> <Angola> => <Angola> <hasCapital> <Luanda>	<Luanda> <Angola>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Oslo> <isLocatedIn> <Norway> => <Norway> <hasCapital> <Oslo>	<Oslo> <Norway>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Pretoria> <isLocatedIn> <South_Africa> => <South_Africa> <hasCapital> <Pretoria>	<South_Africa> <Pretoria>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Riga> <isLocatedIn> <Latvia> => <Latvia> <hasCapital> <Riga>	<Riga> <Latvia>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Stockholm> <isLocatedIn> <Sweden> => <Sweden> <hasCapital> <Stockholm>	<Sweden> <Stockholm>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Skopje> <isLocatedIn> <Republic_of_Macedonia> => <Republic_of_Macedonia> <hasCapital> <Skopje>	<Skopje> <Republic_of_Macedonia>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Vilnius> <isLocatedIn> <Lithuania> => <Lithuania> <hasCapital> <Vilnius>	<Vilnius> <Lithuania>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Bucharest> <isLocatedIn> <Romania> => <Romania> <hasCapital> <Bucharest>	<Romania> <Bucharest>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Bern> <isLocatedIn> <Switzerland> => <Switzerland> <hasCapital> <Bern>	<Bern> <Switzerland>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Chişinău> <isLocatedIn> <Moldova> => <Moldova> <hasCapital> <Chişinău>	<Chişinău> <Moldova>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Kuwait_City> <isLocatedIn> <Kuwait> => <Kuwait> <hasCapital> <Kuwait_City>	<Kuwait> <Kuwait_City>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Valletta> <isLocatedIn> <Malta> => <Malta> <hasCapital> <Valletta>	<Valletta> <Malta>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Windhoek> <isLocatedIn> <Namibia> => <Namibia> <hasCapital> <Windhoek>	<Namibia> <Windhoek>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Hangzhou> <isLocatedIn> <Zhejiang> => <Zhejiang> <hasCapital> <Hangzhou>	<Zhejiang> <Hangzhou>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Shijiazhuang> <isLocatedIn> <Hebei> => <Hebei> <hasCapital> <Shijiazhuang>	<Shijiazhuang> <Hebei>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Kiev> <isLocatedIn> <Ukraine> => <Ukraine> <hasCapital> <Kiev>	<Kiev> <Ukraine>	<hasCapital> <isLocatedIn>
?b <isLocatedIn> ?a => ?a <hasCapital> ?b	<Sapporo> <isLocatedIn> <Hokkaidō> => <Hokkaidō> <hasCapital> <Sapporo>	<Hokkaidō> <Sapporo>	<hasCapital> <isLocatedIn>
?a <exports> ?b => ?a <imports> ?b	<Bulgaria> <exports> <wordnet_fuel_114875077> => <Bulgaria> <imports> <wordnet_fuel_114875077>	<wordnet_fuel_114875077> <Bulgaria>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Spain> <exports> <wordnet_chemical_114806838> => <Spain> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Spain>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Spain> <exports> <wordnet_foodstuff_107566340> => <Spain> <imports> <wordnet_foodstuff_107566340>	<wordnet_foodstuff_107566340> <Spain>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Belgium> <exports> <wordnet_chemical_114806838> => <Belgium> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Belgium>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Belgium> <exports> <wordnet_foodstuff_107566340> => <Belgium> <imports> <wordnet_foodstuff_107566340>	<Belgium> <wordnet_foodstuff_107566340>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Brazil> <exports> <wordnet_machinery_103701640> => <Brazil> <imports> <wordnet_machinery_103701640>	<wordnet_machinery_103701640> <Brazil>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Canada> <exports> <wordnet_electricity_111449907> => <Canada> <imports> <wordnet_electricity_111449907>	<Canada> <wordnet_electricity_111449907>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Canada> <exports> <wordnet_electronics_106099269> => <Canada> <imports> <wordnet_electronics_106099269>	<Canada> <wordnet_electronics_106099269>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Chile> <exports> <wordnet_chemical_114806838> => <Chile> <imports> <wordnet_chemical_114806838>	<Chile> <wordnet_chemical_114806838>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<El_Salvador> <exports> <wordnet_electricity_111449907> => <El_Salvador> <imports> <wordnet_electricity_111449907>	<El_Salvador> <wordnet_electricity_111449907>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Finland> <exports> <wordnet_chemical_114806838> => <Finland> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Finland>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Finland> <exports> <wordnet_machinery_103701640> => <Finland> <imports> <wordnet_machinery_103701640>	<wordnet_machinery_103701640> <Finland>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Georgia_(country)> <exports> <wordnet_vehicle_104524313> => <Georgia_(country)> <imports> <wordnet_vehicle_104524313>	<Georgia_(country)> <wordnet_vehicle_104524313>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Greece> <exports> <wordnet_chemical_114806838> => <Greece> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Greece>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<India> <exports> <wordnet_chemical_114806838> => <India> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <India>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Republic_of_Ireland> <exports> <wordnet_chemical_114806838> => <Republic_of_Ireland> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Republic_of_Ireland>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Malaysia> <exports> <wordnet_chemical_114806838> => <Malaysia> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Malaysia>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Moldova> <exports> <wordnet_fabric_103309808> => <Moldova> <imports> <wordnet_fabric_103309808>	<Moldova> <wordnet_fabric_103309808>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Morocco> <exports> <wordnet_transistor_104471632> => <Morocco> <imports> <wordnet_transistor_104471632>	<Morocco> <wordnet_transistor_104471632>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Netherlands> <exports> <wordnet_chemical_114806838> => <Netherlands> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Netherlands>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Norway> <exports> <wordnet_chemical_114806838> => <Norway> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Norway>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Norway> <exports> <wordnet_metallic_element_114625458> => <Norway> <imports> <wordnet_metallic_element_114625458>	<Norway> <wordnet_metallic_element_114625458>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Portugal> <exports> <wordnet_base_metal_114618674> => <Portugal> <imports> <wordnet_base_metal_114618674>	<wordnet_base_metal_114618674> <Portugal>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Portugal> <exports> <wordnet_clothing_103051540> => <Portugal> <imports> <wordnet_clothing_103051540>	<wordnet_clothing_103051540> <Portugal>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Portugal> <exports> <wordnet_footwear_103381126> => <Portugal> <imports> <wordnet_footwear_103381126>	<wordnet_footwear_103381126> <Portugal>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Portugal> <exports> <wordnet_foodstuff_107566340> => <Portugal> <imports> <wordnet_foodstuff_107566340>	<wordnet_foodstuff_107566340> <Portugal>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Romania> <exports> <wordnet_chemical_114806838> => <Romania> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Romania>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Switzerland> <exports> <wordnet_chemical_114806838> => <Switzerland> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Switzerland>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Switzerland> <exports> <wordnet_machinery_103701640> => <Switzerland> <imports> <wordnet_machinery_103701640>	<Switzerland> <wordnet_machinery_103701640>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Singapore> <exports> <wordnet_consumer_goods_103093574> => <Singapore> <imports> <wordnet_consumer_goods_103093574>	<Singapore> <wordnet_consumer_goods_103093574>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<France> <exports> <wordnet_chemical_114806838> => <France> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <France>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<France> <exports> <wordnet_plastic_114592610> => <France> <imports> <wordnet_plastic_114592610>	<wordnet_plastic_114592610> <France>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<France> <exports> <wordnet_aircraft_102686568> => <France> <imports> <wordnet_aircraft_102686568>	<wordnet_aircraft_102686568> <France>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Austria> <exports> <wordnet_chemical_114806838> => <Austria> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Austria>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Sweden> <exports> <wordnet_motor_vehicle_103791235> => <Sweden> <imports> <wordnet_motor_vehicle_103791235>	<wordnet_motor_vehicle_103791235> <Sweden>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Sweden> <exports> <wordnet_chemical_114806838> => <Sweden> <imports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Sweden>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Sweden> <exports> <wordnet_machinery_103701640> => <Sweden> <imports> <wordnet_machinery_103701640>	<wordnet_machinery_103701640> <Sweden>	<exports> <imports>
?a <exports> ?b => ?a <imports> ?b	<Cape_Verde> <exports> <wordnet_fuel_114875077> => <Cape_Verde> <imports> <wordnet_fuel_114875077>	<wordnet_fuel_114875077> <Cape_Verde>	<exports> <imports>
?a <livesIn> ?b => ?a <isPoliticianOf> ?b	<Dale_E._Wolf> <livesIn> <Delaware> => <Dale_E._Wolf> <isPoliticianOf> <Delaware>	<Dale_E._Wolf> <Delaware>	<livesIn> <isPoliticianOf>
?a <livesIn> ?b => ?a <isPoliticianOf> ?b	<Mike_Beebe> <livesIn> <Arkansas> => <Mike_Beebe> <isPoliticianOf> <Arkansas>	<Arkansas> <Mike_Beebe>	<livesIn> <isPoliticianOf>
?a <livesIn> ?b => ?a <isPoliticianOf> ?b	<Daniel_Rodney> <livesIn> <Delaware> => <Daniel_Rodney> <isPoliticianOf> <Delaware>	<Daniel_Rodney> <Delaware>	<livesIn> <isPoliticianOf>
?a <livesIn> ?b => ?a <isPoliticianOf> ?b	<Gunning_Bedford> <livesIn> <_Sr.,Delaware> => <Gunning_Bedford> <isPoliticianOf> <_Sr.,Delaware>	<_Sr.,Delaware> <Gunning_Bedford>	<livesIn> <isPoliticianOf>
?a <livesIn> ?b => ?a <isPoliticianOf> ?b	<Joseph_Haslet> <livesIn> <Delaware> => <Joseph_Haslet> <isPoliticianOf> <Delaware>	<Joseph_Haslet> <Delaware>	<livesIn> <isPoliticianOf>
?a <livesIn> ?b => ?a <isPoliticianOf> ?b	<George_H._Utter> <livesIn> <Rhode_Island> => <George_H._Utter> <isPoliticianOf> <Rhode_Island>	<Rhode_Island> <George_H._Utter>	<livesIn> <isPoliticianOf>
?a <imports> ?b => ?a <exports> ?b	<Bulgaria> <imports> <wordnet_fuel_114875077> => <Bulgaria> <exports> <wordnet_fuel_114875077>	<wordnet_fuel_114875077> <Bulgaria>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Spain> <imports> <wordnet_chemical_114806838> => <Spain> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Spain>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Spain> <imports> <wordnet_foodstuff_107566340> => <Spain> <exports> <wordnet_foodstuff_107566340>	<wordnet_foodstuff_107566340> <Spain>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Belgium> <imports> <wordnet_chemical_114806838> => <Belgium> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Belgium>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Belgium> <imports> <wordnet_foodstuff_107566340> => <Belgium> <exports> <wordnet_foodstuff_107566340>	<Belgium> <wordnet_foodstuff_107566340>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Brazil> <imports> <wordnet_machinery_103701640> => <Brazil> <exports> <wordnet_machinery_103701640>	<wordnet_machinery_103701640> <Brazil>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Canada> <imports> <wordnet_electricity_111449907> => <Canada> <exports> <wordnet_electricity_111449907>	<Canada> <wordnet_electricity_111449907>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Canada> <imports> <wordnet_electronics_106099269> => <Canada> <exports> <wordnet_electronics_106099269>	<Canada> <wordnet_electronics_106099269>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Chile> <imports> <wordnet_chemical_114806838> => <Chile> <exports> <wordnet_chemical_114806838>	<Chile> <wordnet_chemical_114806838>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<El_Salvador> <imports> <wordnet_electricity_111449907> => <El_Salvador> <exports> <wordnet_electricity_111449907>	<El_Salvador> <wordnet_electricity_111449907>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Finland> <imports> <wordnet_chemical_114806838> => <Finland> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Finland>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Finland> <imports> <wordnet_machinery_103701640> => <Finland> <exports> <wordnet_machinery_103701640>	<wordnet_machinery_103701640> <Finland>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Georgia_(country)> <imports> <wordnet_vehicle_104524313> => <Georgia_(country)> <exports> <wordnet_vehicle_104524313>	<Georgia_(country)> <wordnet_vehicle_104524313>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Greece> <imports> <wordnet_chemical_114806838> => <Greece> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Greece>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<India> <imports> <wordnet_chemical_114806838> => <India> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <India>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Republic_of_Ireland> <imports> <wordnet_chemical_114806838> => <Republic_of_Ireland> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Republic_of_Ireland>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Malaysia> <imports> <wordnet_chemical_114806838> => <Malaysia> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Malaysia>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Moldova> <imports> <wordnet_fabric_103309808> => <Moldova> <exports> <wordnet_fabric_103309808>	<Moldova> <wordnet_fabric_103309808>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Morocco> <imports> <wordnet_transistor_104471632> => <Morocco> <exports> <wordnet_transistor_104471632>	<Morocco> <wordnet_transistor_104471632>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Netherlands> <imports> <wordnet_chemical_114806838> => <Netherlands> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Netherlands>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Norway> <imports> <wordnet_chemical_114806838> => <Norway> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Norway>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Norway> <imports> <wordnet_metallic_element_114625458> => <Norway> <exports> <wordnet_metallic_element_114625458>	<Norway> <wordnet_metallic_element_114625458>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Portugal> <imports> <wordnet_base_metal_114618674> => <Portugal> <exports> <wordnet_base_metal_114618674>	<wordnet_base_metal_114618674> <Portugal>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Portugal> <imports> <wordnet_clothing_103051540> => <Portugal> <exports> <wordnet_clothing_103051540>	<wordnet_clothing_103051540> <Portugal>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Portugal> <imports> <wordnet_footwear_103381126> => <Portugal> <exports> <wordnet_footwear_103381126>	<wordnet_footwear_103381126> <Portugal>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Portugal> <imports> <wordnet_foodstuff_107566340> => <Portugal> <exports> <wordnet_foodstuff_107566340>	<wordnet_foodstuff_107566340> <Portugal>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Romania> <imports> <wordnet_chemical_114806838> => <Romania> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Romania>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Switzerland> <imports> <wordnet_chemical_114806838> => <Switzerland> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Switzerland>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Switzerland> <imports> <wordnet_machinery_103701640> => <Switzerland> <exports> <wordnet_machinery_103701640>	<Switzerland> <wordnet_machinery_103701640>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Singapore> <imports> <wordnet_consumer_goods_103093574> => <Singapore> <exports> <wordnet_consumer_goods_103093574>	<Singapore> <wordnet_consumer_goods_103093574>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<France> <imports> <wordnet_aircraft_102686568> => <France> <exports> <wordnet_aircraft_102686568>	<wordnet_aircraft_102686568> <France>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<France> <imports> <wordnet_chemical_114806838> => <France> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <France>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<France> <imports> <wordnet_plastic_114592610> => <France> <exports> <wordnet_plastic_114592610>	<wordnet_plastic_114592610> <France>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Austria> <imports> <wordnet_chemical_114806838> => <Austria> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Austria>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Sweden> <imports> <wordnet_motor_vehicle_103791235> => <Sweden> <exports> <wordnet_motor_vehicle_103791235>	<wordnet_motor_vehicle_103791235> <Sweden>	<exports> <imports>
?a <imports> ?b => ?a <exports> ?b	<Sweden> <imports> <wordnet_chemical_114806838> => <Sweden> <exports> <wordnet_chemical_114806838>	<wordnet_chemical_114806838> <Sweden>	<exports> <imports>
